author,autism,coords_from,country,id,label,lang,location,measl,mood,mump,published_at,response_id,retweeted_id,state,text,vaccin,vax,vaxin,x,y,zip
AllanCripps (Prof Allan Cripps),0,,,562022515938050048,0,en,Griffith University,0,-2,0,2015-02-01 22:59:44 UTC,,561779458009354240,,RT @PaulVanBuynder: High mortality with obesity and H1N1 flu in Nth America .. Free vaccine for this there .. Why no measure here? #ASM2015,1,0,0,,,
MattusovAlika (Ricardo Castro),0,location,zm,562117481322795008,0,en,Monguí,0,0,0,2015-02-02 05:17:05 UTC,,,,Liberias Ebola vaccine trial begins http://t.co/rYBEIlyUor,1,0,0,23.131861,-15.27748,30100
imJinri94 (ㅡ최진리ㅡ),0,,,562120374003834880,0,en,,0,0,0,2015-02-02 05:28:35 UTC,,,,Liberia's Ebola vaccine trial begins http://t.co/SlPHkVwkR4,1,0,0,,,
tcarmody (Tim Carmody),0,,,562128079452377088,1,en,"Docere, Delectare, Movere",0,0,0,2015-02-02 05:59:12 UTC,,562127931128819712,,RT @alexismadrigal: 1 reason why anti-vaccination sentiment is not climate change denial for the left: http://t.co/BH5zPq2SMP Left politica…,1,0,0,,,
PANTHERONE (Chris Gibson),0,,,562132937483632643,0,en,Janet Reno back mole,0,0,0,2015-02-02 06:18:30 UTC,,562119616512933888,,RT @BBCWorld: Liberia's #Ebola vaccine trial begins http://t.co/YfgajvubBS http://t.co/0ti1tjCXzl,1,0,0,,,
AllTheNewsIsNow (All The News Is Now),0,location,us,562177486918672384,0,en,Jupiter,0,0,0,2015-02-02 09:15:32 UTC,,,fl,#ABCNews Ebola Vaccine Trial Starts in Liberia: Ebola vaccine trial starts in Liberia in partnership between L... http://t.co/fTwJ5erTvn,1,0,0,-80.101914,26.931985,33458
8ine10 (E-10),0,,,562179235679178752,0,ar,,0,0,0,2015-02-02 09:22:29 UTC,,,,Ebola vaccine trial starts in Liberia - http://t.co/9Hbe0PPg4J,0,0,0,,,
jusetinbieberr (-),0,,,562180657699225600,0,en,,0,0,0,2015-02-02 09:28:08 UTC,,,,"Ebola vaccine trial starts in Liberia: MONROBVIA, Liberia (AP) — A group of musicians entertained guests in a ... http://t.co/IJkgbH5pyJ",1,0,0,,,
1954candanga (petra  ),0,,,562181632934023170,0,es,,0,0,0,2015-02-02 09:32:00 UTC,,,,@ynetnews: #Ebola vaccine trial starts in #Liberia - http://t.co/xPLTS7z5zc,0,0,0,,,
danny_taylor68 (Daniel Taylor),0,,,562192216181846016,0,en,,0,2,0,2015-02-02 10:14:04 UTC,,,,Liberians urged 'to take courage' as Ebola vaccine trial starts http://t.co/17XnVtaIO6,1,0,0,,,
huyanxing (胡彥行),0,location,gb,562200561467273217,0,en,"London, UK",0,0,0,2015-02-02 10:47:13 UTC,,,eng,Ebola vaccine trial to start on volunteers in Liberia http://t.co/4g2SCkk18x,1,0,0,-0.127144,51.506325,sw1a 2
michaelrosa1979 (Michael Rosa),0,location,us,562235185664888832,0,en,"Harrisburg, PA",0,0,0,2015-02-02 13:04:48 UTC,,,pa,#wearethepeople In pursuit of next-generation Ebola stockpile vaccines - Fox News http://t.co/UWSVx8QIxj,1,0,0,-76.88223,40.259865,17101
rnmmm_ (96),0,location,id,562250848449748992,0,en,JAKARTA,0,0,0,2015-02-02 14:07:03 UTC,,,,Ebola vaccine trials begin on volunteers in Liberia  #SEBHEUPDATE,1,0,0,106.82782,-6.17144,
Applebome (Peter Applebome),0,location,us,562258433249116161,1,en,"Chappaqua, NY",0,1,0,2015-02-02 14:37:11 UTC,,562254046858592257,ny,"RT @jasonzweigwsj: NJ Gov. Christie: parents should have ""choice"" on vaccinations http://t.co/9JTvGHuIaF Yes: to schedule the shots in eith…",1,0,0,-73.773409,41.156335,10514
IanSams (Ian Sams),0,location,us,562262960278892544,1,en,"Washington, D.C.",0,0,0,2015-02-02 14:55:10 UTC,,,dc,"Unreal. RT @AliyahFrumin: .@GovChristie urges ‘balance’ on vaccination choice, shift form Obama  http://t.co/mpVP4BwKOq, via @kasie",1,0,0,-77.031959,38.89037,20004
